"CrashDate","CrashYear","CrashMonth","CrashDay","CrashTime","LightCondition","Weather","County","CityVillageTownshipName","Lat","Long","PedestrianRelated","BicycleRelated","Narrative"
2018-12-19,2018,12,19,11:27:00,"Daylight","Clear","Cuyahoga County","Westlake",41.471612,-81.875774,TRUE,FALSE,NA
2018-01-18,2018,1,18,01:35:00,"Dark - Lighted Roadway","Clear","Montgomery County","Trotwood",39.797796,-84.269432,TRUE,FALSE,NA
2018-02-04,2018,2,4,17:54:00,"Dawn/Dusk","Other/Unknown","Mahoning County","Youngstown",41.0738,-80.6262,TRUE,FALSE,NA
2018-02-20,2018,2,20,23:02:00,"Dark - Roadway Not Lighted","Clear","Butler County","West Chester (Township of) AKA",39.31593,-84.445705,TRUE,FALSE,NA
2018-02-06,2018,2,6,07:31:00,"Dark - Lighted Roadway","Clear","Cuyahoga County","Cleveland",41.530258,-81.633991,TRUE,FALSE,NA
2018-03-15,2018,3,15,12:36:00,"Daylight","Cloudy","Mahoning County","Youngstown",41.092583,-80.65521,TRUE,FALSE,NA
2018-03-17,2018,3,17,23:20:00,"Dark - Roadway Not Lighted","Clear","Cuyahoga County","Cleveland",41.493359,-81.636767,TRUE,FALSE,NA
2018-03-30,2018,3,30,22:40:00,"Dark - Roadway Not Lighted","Clear","Montgomery County","Trotwood",39.818459,-84.294548,TRUE,FALSE,NA
2018-02-14,2018,2,14,22:56:00,"Dark - Lighted Roadway","Rain","Muskingum County","Zanesville",39.95567,-82.004585,TRUE,FALSE,NA
2018-04-19,2018,4,19,22:20:00,"Dark - Lighted Roadway","Clear","Cuyahoga County","Cleveland",41.479744,-81.592011,TRUE,FALSE,NA
2018-05-11,2018,5,11,22:16:00,"Dark - Roadway Not Lighted","Clear","Warren County","Deerfield (Township of)",39.372475,-84.345825,TRUE,FALSE,NA
2018-05-26,2018,5,26,11:51:00,"Daylight","Clear","Miami County","Troy",40.044551,-84.214261,FALSE,TRUE,NA
2018-05-16,2018,5,16,07:40:00,"Daylight","Clear","Cuyahoga County","Cleveland",41.470975,-81.707517,TRUE,FALSE,NA
2018-06-05,2018,6,5,13:40:00,"Daylight","Clear","Lake County","Eastlake",41.642427,-81.448728,TRUE,FALSE,NA
2018-06-10,2018,6,10,02:19:00,"Dark - Roadway Not Lighted","Rain","Lucas County","Toledo",41.705152,-83.525551,TRUE,FALSE,NA
2018-06-15,2018,6,15,21:57:00,"Dark - Roadway Not Lighted","Clear","Butler County","Saint Clair (Township of)",39.434202,-84.482185,TRUE,FALSE,NA
2018-01-03,2018,1,3,04:34:00,"Dark - Lighted Roadway","Cloudy","Cuyahoga County","East Cleveland",41.539681,-81.56168,TRUE,FALSE,NA
2018-07-13,2018,7,13,00:31:00,"Dark - Roadway Not Lighted","Clear","Franklin County","Franklin (Township of)",39.953368,-83.106588,TRUE,FALSE,NA
2018-07-15,2018,7,15,22:47:00,"Dark - Roadway Not Lighted","Clear","Butler County","West Chester (Township of) AKA",39.315944,-84.439363,TRUE,FALSE,NA
2018-07-20,2018,7,20,23:38:00,"Dark - Lighted Roadway","Rain","Franklin County","Prairie (Township of)",39.951929,-83.137116,TRUE,FALSE,NA
2018-06-13,2018,6,13,17:36:00,"Daylight","Clear","Cuyahoga County","Cleveland",41.463339,-81.641295,TRUE,FALSE,NA
2018-07-18,2018,7,18,10:49:00,"Daylight","Clear","Licking County","Washington (Township of)",40.184385,-82.422261,TRUE,FALSE,NA
2018-06-07,2018,6,7,00:07:00,"Dark - Roadway Not Lighted","Clear","Lake County","Madison (Township of)",41.788639,-81.011056,TRUE,FALSE,NA
2018-08-18,2018,8,18,21:58:00,"Dark - Lighted Roadway","Clear","Cuyahoga County","Cleveland",41.504406,-81.69045,TRUE,FALSE,NA
2018-09-09,2018,9,9,01:30:00,"Dark - Roadway Not Lighted","Rain","Hamilton County","Harrison",39.25427,-84.788748,TRUE,FALSE,NA
2018-09-24,2018,9,24,12:31:00,"Daylight","Cloudy","Cuyahoga County","Cleveland",41.502225,-81.688747,TRUE,FALSE,NA
2018-10-11,2018,10,11,07:08:00,"Dark - Roadway Not Lighted","Cloudy","Franklin County","Westerville",40.116991,-82.948662,TRUE,FALSE,NA
2018-09-08,2018,9,8,18:25:00,"Daylight","Rain","Cuyahoga County","Brook Park",41.392035,-81.824125,TRUE,FALSE,NA
2018-10-14,2018,10,14,02:45:00,"Dark - Roadway Not Lighted","Rain","Fayette County","Union (Township of)",39.545025,-83.47023,TRUE,FALSE,NA
2018-11-01,2018,11,1,00:19:00,"Dark - Roadway Not Lighted","Rain","Fayette County","Jasper (Township of)",39.595974,-83.576965,TRUE,FALSE,NA
2018-10-21,2018,10,21,22:35:00,"Dark - Lighted Roadway","Clear","Franklin County","Columbus",39.884107,-83.000014,TRUE,FALSE,"Accident occurred on Sunday; October 21; 2018; at approximately 10:36 p.m. on S. High St. at the intersection of Great Southern Service Rd. Unit #1 was traveling northbound on S. High St. in the right-most of three lanes of continuous travel; approaching the intersection of Great Southern Service Rd. The traffic signal at the intersection of S. High St. and Great Southern Service Rd. was flashing yellow; and the cross-walk signals were no longer running. Unit #2; a pedestrian; was crossing S. High St. from the west; to the east side of the street.  The Driver of Unit #1 stated to first responding officers that she had been traveling northbound in the right-most lane; traveling about 50 mph; when she struck something; and wasn't even sure what she struck; but that she believed it could have been a person; so she called 911.   Columbus Fire Medic 22 transported Unit #2 in extremely critical condition to Grant Hospital; where she was later pronounced; at 11:22 p.m.  Columbus Police Accident Investigation Unit was contacted and responded to scene; where they took over the investigation."
2018-11-12,2018,11,12,19:50:00,"Dark - Roadway Not Lighted","Clear","Montgomery County","Miami (Township of)",39.65594,-84.22352,TRUE,FALSE,NA
2018-12-18,2018,12,18,17:04:00,"Dark - Roadway Not Lighted","Clear","Franklin County","Mifflin (Township of)",40.014929,-82.929148,TRUE,FALSE,NA
2018-12-19,2018,12,19,19:22:00,"Dark - Lighted Roadway","Clear","Portage County","Brimfield",41.100021,-81.346172,TRUE,FALSE,NA
2018-12-28,2018,12,28,13:42:00,"Daylight","Cloudy","Montgomery County","Trotwood",39.819146,-84.278268,TRUE,FALSE,NA
2018-12-06,2018,12,6,20:21:00,"Dark - Roadway Not Lighted","Cloudy","Logan County","Harrison",40.347456,-83.774609,TRUE,FALSE,"Unit 1 was Westbound on CR 11.   Pedestrian was Westbound on or along CR 11.  Unit 1 struck the pedestrian.   The pedestrian was killed.  Unit 1 fled the scene."
2018-06-24,2018,6,24,01:04:00,"Dark - Lighted Roadway","Cloudy","Lake County","Mentor",41.67173,-81.36909,TRUE,FALSE,NA
2018-11-23,2018,11,23,04:15:00,"Dark - Roadway Not Lighted","Cloudy","Hamilton County","Springfield (Township of)",39.215703,-84.474519,TRUE,FALSE,NA
2018-12-30,2018,12,30,15:00:00,"Daylight","Cloudy","Hamilton County","Cincinnati",39.137182,-84.541439,TRUE,FALSE,NA
2018-12-21,2018,12,21,19:46:00,"Dark - Roadway Not Lighted","Clear","Fulton County","Swan Creek (Township of)",41.52611,-83.902333,TRUE,FALSE,"Unit #1 traveled northbound on County Road #2. Unit #2 was backing northbound left of center on County Road #2. Unit #3 was a pedestrian in the roadway. Unit #4 was parked in the northbound lane of County Road #2. Unit #1 struck Unit #2. After impact with Unit #2; Unit #1 struck Unit #3. Unit #1 traveled off the right side of the roadway; and struck Unit #4. Unit #1 overturned from the impact with #4. Unit #3 came to rest in a private driveway.  Supplement 1/7/19 to update crash after recon review."
